stationName,dow,06시이전,06~07시,07~08시,08~09시,09~10시,10~11시,11~12시,12~13시,13~14시,14~15시,15~16시,16~17시,17~18시,18~19시,19~20시,20~21시,21~22시,22~23시,23~24시,24시이후
동대문역사문화공원,SAT,37.67,100.33,174.44,409.78,543.11,867.89,917.56,1132.11,1270.56,1304.89,1293.67,1245.44,1256.44,1193.33,1117.56,1067.78,989.89,878,657.11,388
동대문역사문화공원,SUN,34.67,93.33,139,291.78,566.22,708.44,871.33,1025.67,1075.44,1070.11,1034.67,1025,985,962.22,1009.78,974.56,1059.33,843.78,562,245
신당,MON,41.22,166.78,310.78,722.11,683.22,908.33,746.67,659,695,670.11,755.11,809.33,1038.33,1315,1181,1369.44,940.89,667.11,503.89,328
신당,TUE,45.67,174.22,361.11,792.33,762.78,923.78,765.78,675.22,685.44,692.11,753.78,882.67,1068.89,1514.56,1355.11,1474.33,1019.89,710,523,381.22
신당,WED,37,168.63,354.25,849.63,783.63,987.63,781.88,636.75,668.75,708.63,805.75,912.75,1146.75,1663.5,1458.75,1521.38,1055.38,716.25,540.13,411.75
신당,THU,39.89,170.13,363.38,826.25,730,858.13,674.38,639.25,661.13,689,738.13,862.13,1101.38,1622.13,1345.75,1378.88,954.5,742.25,509.13,418.88
신당,FRI,39.33,157.89,323.89,751.44,707.11,896,727,660.11,693.44,751.67,813.44,915.56,1157.78,1630.44,1472.22,1591.67,1083.89,760.22,571.56,471.44
신당,SAT,35.22,105.44,160.67,384.67,455.11,584.89,669.22,728,856.67,914.89,960.78,985.56,1104.11,1154.67,1106.89,923.33,757.89,657.33,564,341.11
신당,SUN,30.56,73.56,108.89,245.67,328.33,421.56,516.78,648.89,705.89,736.22,776.11,803.22,841.89,829.67,733,659.89,587.89,495.67,402.11,196.89
상왕십리,MON,29.89,100.11,240.22,657.44,551.78,832,544.22,470,471.11,538.11,620.56,709.67,965.89,1393.22,1247,1499.78,1087.22,746.11,562.56,362.11
상왕십리,TUE,27.33,109.89,280.22,751,621.56,865.33,546.67,482.44,496.67,554.11,662.56,758.56,1010.56,1540.56,1400.67,1548.89,1129.78,811.78,615.56,430.56
상왕십리,WED,22.44,112.38,291.63,792.13,655.13,914.38,573,509.25,514.5,595,677.5,810,1133.88,1713.38,1489,1619.13,1107.63,805.25,625.25,467.38
상왕십리,THU,24.22,109.88,288.13,799.63,588.25,774.5,527.75,448.88,483.88,523.5,647.5,743.63,999.13,1651.25,1346,1411.13,1015.38,795.5,608.63,457.38
상왕십리,FRI,25.78,101.11,264.89,704.78,593.67,841.11,560.78,474.56,514.56,557.78,673,766.67,1036.78,1494.67,1318.33,1452.67,1019.78,776.44,635.78,518.89
상왕십리,SAT,25.67,73.56,111.67,278.78,331.22,399.78,468.67,467.11,486.56,578.56,584.22,670.67,740,770.78,796.89,689,672.11,610.44,550.56,364.22
상왕십리,SUN,25.44,66.89,83.56,169.56,248.33,335.33,326.22,380.56,374.22,438.11,472.22,557.56,626.44,627.56,636.33,581.56,568.78,492.89,435.67,207.44
